"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","270","Create file with empty directory","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","548","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
"","28","Get exercises","LMS service","2026-07-23","passed","2026-07-23","Get entities","Exercises","",""
"","25","Create exercise","LMS service","2026-07-23","passed","2026-07-23","Create entity","Exercises","",""
"","29","Create file","LMS service","2026-07-23","passed","2026-07-23","Create entity","Files","",""
"","30","Get three exercises","LMS service","2026-07-23","passed","2026-07-23","Get entities","Exercises","",""
"","23","Delete exercise","LMS service","2026-07-23","passed","2026-07-23","Delete entity","Exercises","",""
"","34","Update exercise","LMS service","2026-07-23","passed","2026-07-23","Update entity","Exercises","",""
"","553","Login with correct email and password","LMS service","2026-07-23","passed","2026-07-23","Login","Authentication","",""
"","22","Create file with empty filename","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","301","Get courses","LMS service","2026-07-23","passed","2026-07-23","Get entities","Courses","",""
"","306","Update course","LMS service","2026-07-23","passed","2026-07-23","Update entity","Courses","",""
"","25","Delete file","LMS service","2026-07-23","passed","2026-07-23","Delete entity","Files","",""
"","23","Get exercise","LMS service","2026-07-23","passed","2026-07-23","Get entity","Exercises","",""
"","19","Get file","LMS service","2026-07-23","passed","2026-07-23","Get entity","Files","",""
"","16","Get user me","LMS service","2026-07-23","passed","2026-07-23","Get entity","Users","",""
"","19","Get file with incorrect file id","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","35","Get three courses","LMS service","2026-07-23","passed","2026-07-23","Get entities","Courses","",""
"","36","Create course","LMS service","2026-07-23","passed","2026-07-23","Create entity","Courses","",""
"","529","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
"","291","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
