"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Create exercise","LMS service","2026-07-27","passed","2026-07-27","Create entity","Exercises","",""
"","270","Create file with empty directory","LMS service","2026-07-27","passed","2026-07-27","Validate entity","Files","",""
"","32","Get courses","LMS service","2026-07-27","passed","2026-07-27","Get entities","Courses","",""
"","18","Get exercise","LMS service","2026-07-27","passed","2026-07-27","Get entity","Exercises","",""
"","32","Create file","LMS service","2026-07-27","passed","2026-07-27","Create entity","Files","",""
"","282","Get exercises","LMS service","2026-07-27","broken","2026-07-27","Get entities","Exercises","",""
"","15","Get file with incorrect file id","LMS service","2026-07-27","passed","2026-07-27","Validate entity","Files","",""
"","14","Get file","LMS service","2026-07-27","passed","2026-07-27","Get entity","Files","",""
"","547","Login with correct email and password","LMS service","2026-07-27","passed","2026-07-27","Login","Authentication","",""
"","534","Create user","LMS service","2026-07-27","passed","2026-07-27","Create entity","Users","",""
"","10","Get three exercises","LMS service","2026-07-27","broken","2026-07-27","Get entities","Exercises","",""
"","21","Delete file","LMS service","2026-07-27","passed","2026-07-27","Delete entity","Files","",""
"","291","Create user","LMS service","2026-07-27","passed","2026-07-27","Create entity","Users","",""
"","541","Create user","LMS service","2026-07-27","passed","2026-07-27","Create entity","Users","",""
"","32","Create course","LMS service","2026-07-27","passed","2026-07-27","Create entity","Courses","",""
"","12","Get user me","LMS service","2026-07-27","passed","2026-07-27","Get entity","Users","",""
"","270","Create file with empty filename","LMS service","2026-07-27","passed","2026-07-27","Validate entity","Files","",""
"","31","Delete exercise","LMS service","2026-07-27","passed","2026-07-27","Delete entity","Exercises","",""
"","305","Update course","LMS service","2026-07-27","passed","2026-07-27","Update entity","Courses","",""
"","34","Update exercise","LMS service","2026-07-27","passed","2026-07-27","Update entity","Exercises","",""
"","35","Get three courses","LMS service","2026-07-27","passed","2026-07-27","Get entities","Courses","",""
