"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Delete file","LMS service","2026-07-27","passed","2026-07-27","Delete entity","Files","",""
"","14","Get file","LMS service","2026-07-27","passed","2026-07-27","Get entity","Files","",""
"","336","Update course","LMS service","2026-07-27","passed","2026-07-27","Update entity","Courses","",""
"","21","Get exercise","LMS service","2026-07-27","passed","2026-07-27","Get entity","Exercises","",""
"","21","Create exercise","LMS service","2026-07-27","passed","2026-07-27","Create entity","Exercises","",""
"","616","Login with correct email and password","LMS service","2026-07-27","passed","2026-07-27","Login","Authentication","",""
"","301","Create file with empty filename","LMS service","2026-07-27","passed","2026-07-27","Validate entity","Files","",""
"","12","Get user me","LMS service","2026-07-27","passed","2026-07-27","Get entity","Users","",""
"","326","Create user","LMS service","2026-07-27","passed","2026-07-27","Create entity","Users","",""
"","32","Get three courses","LMS service","2026-07-27","passed","2026-07-27","Get entities","Courses","",""
"","20","Get three exercises","LMS service","2026-07-27","passed","2026-07-27","Get entities","Exercises","",""
"","323","Get exercises","LMS service","2026-07-27","passed","2026-07-27","Get entities","Exercises","",""
"","595","Create user","LMS service","2026-07-27","passed","2026-07-27","Create entity","Users","",""
"","27","Get courses","LMS service","2026-07-27","passed","2026-07-27","Get entities","Courses","",""
"","16","Get file with incorrect file id","LMS service","2026-07-27","passed","2026-07-27","Validate entity","Files","",""
"","28","Create course","LMS service","2026-07-27","passed","2026-07-27","Create entity","Courses","",""
"","56","Update exercise","LMS service","2026-07-27","passed","2026-07-27","Update entity","Exercises","",""
"","27","Delete exercise","LMS service","2026-07-27","passed","2026-07-27","Delete entity","Exercises","",""
"","303","Create file with empty directory","LMS service","2026-07-27","passed","2026-07-27","Validate entity","Files","",""
"","609","Create user","LMS service","2026-07-27","passed","2026-07-27","Create entity","Users","",""
"","30","Create file","LMS service","2026-07-27","passed","2026-07-27","Create entity","Files","",""
