"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","305","Update course","LMS service","2026-07-23","passed","2026-07-23","Update entity","Courses","",""
"","27","Delete file","LMS service","2026-07-23","passed","2026-07-23","Delete entity","Files","",""
"","535","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
"","31","Create course","LMS service","2026-07-23","passed","2026-07-23","Create entity","Courses","",""
"","17","Get file with incorrect file id","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","25","Create exercise","LMS service","2026-07-23","passed","2026-07-23","Create entity","Exercises","",""
"","291","Delete exercise","LMS service","2026-07-23","passed","2026-07-23","Delete entity","Exercises","",""
"","521","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
"","292","Update exercise","LMS service","2026-07-23","passed","2026-07-23","Update entity","Exercises","",""
"","551","Login with correct email and password","LMS service","2026-07-23","passed","2026-07-23","Login","Authentication","",""
"","35","Get three courses","LMS service","2026-07-23","passed","2026-07-23","Get entities","Courses","",""
"","299","Get exercises","LMS service","2026-07-23","passed","2026-07-23","Get entities","Exercises","",""
"","299","Get courses","LMS service","2026-07-23","passed","2026-07-23","Get entities","Courses","",""
"","271","Create file with empty filename","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","264","Create file with empty directory","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","18","Get file","LMS service","2026-07-23","passed","2026-07-23","Get entity","Files","",""
"","23","Get exercise","LMS service","2026-07-23","passed","2026-07-23","Get entity","Exercises","",""
"","26","Create file","LMS service","2026-07-23","passed","2026-07-23","Create entity","Files","",""
"","13","Get user me","LMS service","2026-07-23","passed","2026-07-23","Get entity","Users","",""
"","295","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
"","29","Get three exercises","LMS service","2026-07-23","passed","2026-07-23","Get entities","Exercises","",""
