"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","Create exercise","LMS service","2026-07-23","passed","2026-07-23","Create entity","Exercises","",""
"","37","Delete exercise","LMS service","2026-07-23","passed","2026-07-23","Delete entity","Exercises","",""
"","28","Delete file","LMS service","2026-07-23","passed","2026-07-23","Delete entity","Files","",""
"","304","Update course","LMS service","2026-07-23","passed","2026-07-23","Update entity","Courses","",""
"","273","Create file with empty directory","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","542","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
"","14","Get user me","LMS service","2026-07-23","passed","2026-07-23","Get entity","Users","",""
"","27","Get three exercises","LMS service","2026-07-23","passed","2026-07-23","Get entities","Exercises","",""
"","76","Update exercise","LMS service","2026-07-23","passed","2026-07-23","Update entity","Exercises","",""
"","529","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
"","549","Login with correct email and password","LMS service","2026-07-23","passed","2026-07-23","Login","Authentication","",""
"","268","Create file with empty filename","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","18","Get file with incorrect file id","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","37","Create file","LMS service","2026-07-23","passed","2026-07-23","Create entity","Files","",""
"","304","Get courses","LMS service","2026-07-23","passed","2026-07-23","Get entities","Courses","",""
"","292","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
"","24","Get exercises","LMS service","2026-07-23","passed","2026-07-23","Get entities","Exercises","",""
"","309","Get three courses","LMS service","2026-07-23","passed","2026-07-23","Get entities","Courses","",""
"","23","Get exercise","LMS service","2026-07-23","passed","2026-07-23","Get entity","Exercises","",""
"","32","Create course","LMS service","2026-07-23","passed","2026-07-23","Create entity","Courses","",""
"","18","Get file","LMS service","2026-07-23","passed","2026-07-23","Get entity","Files","",""
