"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","252","Create user","LMS service","2026-08-06","passed","2026-08-06","Create entity","Users","",""
"","26","Create file","LMS service","2026-08-06","passed","2026-08-06","Create entity","Files","",""
"","237","Create file with empty filename","LMS service","2026-08-06","passed","2026-08-06","Validate entity","Files","",""
"","14","Get exercise","LMS service","2026-08-06","passed","2026-08-06","Get entity","Exercises","",""
"","21","Delete file","LMS service","2026-08-06","passed","2026-08-06","Delete entity","Files","",""
"","245","Login with correct email and password","LMS service","2026-08-06","passed","2026-08-06","Login","Authentication","",""
"","10","Get file","LMS service","2026-08-06","passed","2026-08-06","Get entity","Files","",""
"","12","Get file with incorrect file id","LMS service","2026-08-06","passed","2026-08-06","Validate entity","Files","",""
"","473","Create user","LMS service","2026-08-06","passed","2026-08-06","Create entity","Users","",""
"","10","Get user me","LMS service","2026-08-06","passed","2026-08-06","Get entity","Users","",""
"","23","Create course","LMS service","2026-08-06","passed","2026-08-06","Create entity","Courses","",""
"","44","Update exercise","LMS service","2026-08-06","passed","2026-08-06","Update entity","Exercises","",""
"","18","Get courses","LMS service","2026-08-06","passed","2026-08-06","Get entities","Courses","",""
"","232","Create file with empty directory","LMS service","2026-08-06","passed","2026-08-06","Validate entity","Files","",""
"","17","Get three exercises","LMS service","2026-08-06","passed","2026-08-06","Get entities","Exercises","",""
"","16","Get exercises","LMS service","2026-08-06","passed","2026-08-06","Get entities","Exercises","",""
"","455","Create user","LMS service","2026-08-06","passed","2026-08-06","Create entity","Users","",""
"","27","Get three courses","LMS service","2026-08-06","passed","2026-08-06","Get entities","Courses","",""
"","18","Create exercise","LMS service","2026-08-06","passed","2026-08-06","Create entity","Exercises","",""
"","14","Delete exercise","LMS service","2026-08-06","passed","2026-08-06","Delete entity","Exercises","",""
"","31","Update course","LMS service","2026-08-06","passed","2026-08-06","Update entity","Courses","",""
