"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9","Get user me","LMS service","2026-07-23","passed","2026-07-23","Get entity","Users","",""
"","18","Get exercises","LMS service","2026-07-23","passed","2026-07-23","Get entities","Exercises","",""
"","20","Create exercise","LMS service","2026-07-23","passed","2026-07-23","Create entity","Exercises","",""
"","30","Update course","LMS service","2026-07-23","passed","2026-07-23","Update entity","Courses","",""
"","536","Login with correct email and password","LMS service","2026-07-23","passed","2026-07-23","Login","Authentication","",""
"","12","Get file","LMS service","2026-07-23","passed","2026-07-23","Get entity","Files","",""
"","45","Delete exercise","LMS service","2026-07-23","passed","2026-07-23","Delete entity","Exercises","",""
"","545","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
"","256","Create file with empty directory","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","30","Get three courses","LMS service","2026-07-23","passed","2026-07-23","Get entities","Courses","",""
"","12","Get file with incorrect file id","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","519","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
"","15","Get exercise","LMS service","2026-07-23","passed","2026-07-23","Get entity","Exercises","",""
"","26","Update exercise","LMS service","2026-07-23","passed","2026-07-23","Update entity","Exercises","",""
"","29","Create file","LMS service","2026-07-23","passed","2026-07-23","Create entity","Files","",""
"","21","Create file with empty filename","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","277","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
"","35","Create course","LMS service","2026-07-23","passed","2026-07-23","Create entity","Courses","",""
"","333","Delete file","LMS service","2026-07-23","passed","2026-07-23","Delete entity","Files","",""
"","23","Get three exercises","LMS service","2026-07-23","passed","2026-07-23","Get entities","Exercises","",""
"","21","Get courses","LMS service","2026-07-23","passed","2026-07-23","Get entities","Courses","",""
