"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","479","Login with correct email and password","LMS service","2026-07-23","passed","2026-07-23","Login","Authentication","",""
"","16","Get three exercises","LMS service","2026-07-23","passed","2026-07-23","Get entities","Exercises","",""
"","232","Create file with empty directory","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","9","Get user me","LMS service","2026-07-23","passed","2026-07-23","Get entity","Users","",""
"","64","Update exercise","LMS service","2026-07-23","passed","2026-07-23","Update entity","Exercises","",""
"","456","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
"","253","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
"","11","Get file with incorrect file id","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","24","Create file","LMS service","2026-07-23","passed","2026-07-23","Create entity","Files","",""
"","251","Get courses","LMS service","2026-07-23","passed","2026-07-23","Get entities","Courses","",""
"","24","Get three courses","LMS service","2026-07-23","passed","2026-07-23","Get entities","Courses","",""
"","16","Create exercise","LMS service","2026-07-23","passed","2026-07-23","Create entity","Exercises","",""
"","12","Get file","LMS service","2026-07-23","passed","2026-07-23","Get entity","Files","",""
"","22","Create course","LMS service","2026-07-23","passed","2026-07-23","Create entity","Courses","",""
"","235","Create file with empty filename","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","22","Delete exercise","LMS service","2026-07-23","passed","2026-07-23","Delete entity","Exercises","",""
"","253","Get exercises","LMS service","2026-07-23","passed","2026-07-23","Get entities","Exercises","",""
"","14","Get exercise","LMS service","2026-07-23","passed","2026-07-23","Get entity","Exercises","",""
"","469","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
"","17","Delete file","LMS service","2026-07-23","passed","2026-07-23","Delete entity","Files","",""
"","270","Update course","LMS service","2026-07-23","passed","2026-07-23","Update entity","Courses","",""
