"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","271","Create file with empty filename","LMS service","2026-07-27","passed","2026-07-27","Validate entity","Files","",""
"","297","Get exercises","LMS service","2026-07-27","passed","2026-07-27","Get entities","Exercises","",""
"","299","Update exercise","LMS service","2026-07-27","passed","2026-07-27","Update entity","Exercises","",""
"","21","Get file with incorrect file id","LMS service","2026-07-27","passed","2026-07-27","Validate entity","Files","",""
"","34","Create course","LMS service","2026-07-27","passed","2026-07-27","Create entity","Courses","",""
"","299","Get courses","LMS service","2026-07-27","passed","2026-07-27","Get entities","Courses","",""
"","541","Create user","LMS service","2026-07-27","passed","2026-07-27","Create entity","Users","",""
"","293","Create user","LMS service","2026-07-27","passed","2026-07-27","Create entity","Users","",""
"","42","Get three courses","LMS service","2026-07-27","passed","2026-07-27","Get entities","Courses","",""
"","12","Get user me","LMS service","2026-07-27","passed","2026-07-27","Get entity","Users","",""
"","18","Get file","LMS service","2026-07-27","passed","2026-07-27","Get entity","Files","",""
"","289","Get exercise","LMS service","2026-07-27","passed","2026-07-27","Get entity","Exercises","",""
"","548","Login with correct email and password","LMS service","2026-07-27","passed","2026-07-27","Login","Authentication","",""
"","265","Create file with empty directory","LMS service","2026-07-27","passed","2026-07-27","Validate entity","Files","",""
"","20","Delete exercise","LMS service","2026-07-27","passed","2026-07-27","Delete entity","Exercises","",""
"","299","Create exercise","LMS service","2026-07-27","passed","2026-07-27","Create entity","Exercises","",""
"","34","Get three exercises","LMS service","2026-07-27","passed","2026-07-27","Get entities","Exercises","",""
"","314","Update course","LMS service","2026-07-27","passed","2026-07-27","Update entity","Courses","",""
"","24","Delete file","LMS service","2026-07-27","passed","2026-07-27","Delete entity","Files","",""
"","534","Create user","LMS service","2026-07-27","passed","2026-07-27","Create entity","Users","",""
"","31","Create file","LMS service","2026-07-27","passed","2026-07-27","Create entity","Files","",""
