"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","58","Update exercise","LMS service","2026-07-23","passed","2026-07-23","Update entity","Exercises","",""
"","553","Login with correct email and password","LMS service","2026-07-23","passed","2026-07-23","Login","Authentication","",""
"","29","Get courses","LMS service","2026-07-23","passed","2026-07-23","Get entities","Courses","",""
"","24","Get three exercises","LMS service","2026-07-23","passed","2026-07-23","Get entities","Exercises","",""
"","294","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
"","23","Create exercise","LMS service","2026-07-23","passed","2026-07-23","Create entity","Exercises","",""
"","541","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
"","302","Update course","LMS service","2026-07-23","passed","2026-07-23","Update entity","Courses","",""
"","38","Get three courses","LMS service","2026-07-23","passed","2026-07-23","Get entities","Courses","",""
"","13","Get user me","LMS service","2026-07-23","passed","2026-07-23","Get entity","Users","",""
"","266","Create file with empty directory","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","33","Create file","LMS service","2026-07-23","passed","2026-07-23","Create entity","Files","",""
"","25","Delete file","LMS service","2026-07-23","passed","2026-07-23","Delete entity","Files","",""
"","526","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
"","16","Get file with incorrect file id","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","34","Delete exercise","LMS service","2026-07-23","passed","2026-07-23","Delete entity","Exercises","",""
"","27","Create course","LMS service","2026-07-23","passed","2026-07-23","Create entity","Courses","",""
"","274","Create file with empty filename","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","293","Get exercises","LMS service","2026-07-23","passed","2026-07-23","Get entities","Exercises","",""
"","17","Get file","LMS service","2026-07-23","passed","2026-07-23","Get entity","Files","",""
"","23","Get exercise","LMS service","2026-07-23","passed","2026-07-23","Get entity","Exercises","",""
