"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Create exercise","LMS service","2026-09-21","passed","2026-09-21","Create entity","Exercises","",""
"","505","Create user","LMS service","2026-09-21","passed","2026-09-21","Create entity","Users","",""
"","21","Update exercise","LMS service","2026-09-21","passed","2026-09-21","Update entity","Exercises","",""
"","236","Create file with empty directory","LMS service","2026-09-21","passed","2026-09-21","Validate entity","Files","",""
"","19","Create file with empty filename","LMS service","2026-09-21","passed","2026-09-21","Validate entity","Files","",""
"","13","Get exercise","LMS service","2026-09-21","passed","2026-09-21","Get entity","Exercises","",""
"","560","Create user","LMS service","2026-09-21","passed","2026-09-21","Create entity","Users","",""
"","111","Create file","LMS service","2026-09-21","passed","2026-09-21","Create entity","Files","",""
"","194","Get exercises","LMS service","2026-09-21","passed","2026-09-21","Get entities","Exercises","",""
"","493","Create user","LMS service","2026-09-21","passed","2026-09-21","Create entity","Users","",""
"","263","Get three courses","LMS service","2026-09-21","passed","2026-09-21","Get entities","Courses","",""
"","583","Update course","LMS service","2026-09-21","passed","2026-09-21","Update entity","Courses","",""
"","24","Delete file","LMS service","2026-09-21","passed","2026-09-21","Delete entity","Files","",""
"","251","Delete exercise","LMS service","2026-09-21","passed","2026-09-21","Delete entity","Exercises","",""
"","15","Get three exercises","LMS service","2026-09-21","passed","2026-09-21","Get entities","Exercises","",""
"","233","Get user with incorrect user id","LMS service","2026-09-21","passed","2026-09-21","Validate entity","Users","",""
"","16","Get file with incorrect file id","LMS service","2026-09-21","passed","2026-09-21","Validate entity","Files","",""
"","481","Login with correct email and password","LMS service","2026-09-21","passed","2026-09-21","Login","Authentication","",""
"","116","Get file","LMS service","2026-09-21","passed","2026-09-21","Get entity","Files","",""
"","341","Get user me","LMS service","2026-09-21","passed","2026-09-21","Get entity","Users","",""
"","343","Get courses","LMS service","2026-09-21","passed","2026-09-21","Get entities","Courses","",""
"","10","Get user by id","LMS service","2026-09-21","passed","2026-09-21","Get entity","Users","",""
"","26","Create course","LMS service","2026-09-21","passed","2026-09-21","Create entity","Courses","",""
