"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Get exercises","LMS service","2026-07-23","passed","2026-07-23","Get entities","Exercises","",""
"","452","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
"","22","Get three courses","LMS service","2026-07-23","passed","2026-07-23","Get entities","Courses","",""
"","19","Create file with empty directory","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","19","Get courses","LMS service","2026-07-23","passed","2026-07-23","Get entities","Courses","",""
"","231","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
"","14","Get three exercises","LMS service","2026-07-23","passed","2026-07-23","Get entities","Exercises","",""
"","304","Delete exercise","LMS service","2026-07-23","passed","2026-07-23","Delete entity","Exercises","",""
"","145","Delete file","LMS service","2026-07-23","passed","2026-07-23","Delete entity","Files","",""
"","107","Update exercise","LMS service","2026-07-23","passed","2026-07-23","Update entity","Exercises","",""
"","537","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
"","12","Get exercise","LMS service","2026-07-23","passed","2026-07-23","Get entity","Exercises","",""
"","108","Update course","LMS service","2026-07-23","passed","2026-07-23","Update entity","Courses","",""
"","79","Create exercise","LMS service","2026-07-23","passed","2026-07-23","Create entity","Exercises","",""
"","431","Create file","LMS service","2026-07-23","passed","2026-07-23","Create entity","Files","",""
"","11","Get file with incorrect file id","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","12","Get user me","LMS service","2026-07-23","passed","2026-07-23","Get entity","Users","",""
"","1303","Create course","LMS service","2026-07-23","passed","2026-07-23","Create entity","Courses","",""
"","590","Create file with empty filename","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","10","Get file","LMS service","2026-07-23","passed","2026-07-23","Get entity","Files","",""
"","448","Login with correct email and password","LMS service","2026-07-23","passed","2026-07-23","Login","Authentication","",""
