"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","274","Get courses","LMS service","2026-09-20","passed","2026-09-20","Get entities","Courses","",""
"","366","Update course","LMS service","2026-09-20","passed","2026-09-20","Update entity","Courses","",""
"","13","Get file with incorrect file id","LMS service","2026-09-20","passed","2026-09-20","Validate entity","Files","",""
"","25","Create course","LMS service","2026-09-20","passed","2026-09-20","Create entity","Courses","",""
"","17","Delete file","LMS service","2026-09-20","passed","2026-09-20","Delete entity","Files","",""
"","14","Get user me","LMS service","2026-09-20","passed","2026-09-20","Get entity","Users","",""
"","104","Create file","LMS service","2026-09-20","passed","2026-09-20","Create entity","Files","",""
"","26","Delete exercise","LMS service","2026-09-20","passed","2026-09-20","Delete entity","Exercises","",""
"","257","Create file with empty filename","LMS service","2026-09-20","passed","2026-09-20","Validate entity","Files","",""
"","518","Login with correct email and password","LMS service","2026-09-20","passed","2026-09-20","Login","Authentication","",""
"","20","Get three exercises","LMS service","2026-09-20","passed","2026-09-20","Get entities","Exercises","",""
"","496","Create user","LMS service","2026-09-20","passed","2026-09-20","Create entity","Users","",""
"","12","Get file","LMS service","2026-09-20","passed","2026-09-20","Get entity","Files","",""
"","254","Create file with empty directory","LMS service","2026-09-20","passed","2026-09-20","Validate entity","Files","",""
"","281","Get exercises","LMS service","2026-09-20","passed","2026-09-20","Get entities","Exercises","",""
"","23","Update exercise","LMS service","2026-09-20","passed","2026-09-20","Update entity","Exercises","",""
"","274","Create user","LMS service","2026-09-20","passed","2026-09-20","Create entity","Users","",""
"","14","Get exercise","LMS service","2026-09-20","passed","2026-09-20","Get entity","Exercises","",""
"","21","Create exercise","LMS service","2026-09-20","passed","2026-09-20","Create entity","Exercises","",""
"","513","Create user","LMS service","2026-09-20","passed","2026-09-20","Create entity","Users","",""
"","24","Get three courses","LMS service","2026-09-20","passed","2026-09-20","Get entities","Courses","",""
