"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Delete file","LMS service","2026-07-27","passed","2026-07-27","Delete entity","Files","",""
"","270","Create file with empty filename","LMS service","2026-07-27","passed","2026-07-27","Validate entity","Files","",""
"","292","Delete exercise","LMS service","2026-07-27","passed","2026-07-27","Delete entity","Exercises","",""
"","38","Get three courses","LMS service","2026-07-27","passed","2026-07-27","Get entities","Courses","",""
"","540","Create user","LMS service","2026-07-27","passed","2026-07-27","Create entity","Users","",""
"","300","Create exercise","LMS service","2026-07-27","passed","2026-07-27","Create entity","Exercises","",""
"","291","Create user","LMS service","2026-07-27","passed","2026-07-27","Create entity","Users","",""
"","30","Get three exercises","LMS service","2026-07-27","passed","2026-07-27","Get entities","Exercises","",""
"","14","Get file","LMS service","2026-07-27","passed","2026-07-27","Get entity","Files","",""
"","22","Get exercise","LMS service","2026-07-27","passed","2026-07-27","Get entity","Exercises","",""
"","270","Create file with empty directory","LMS service","2026-07-27","passed","2026-07-27","Validate entity","Files","",""
"","15","Get file with incorrect file id","LMS service","2026-07-27","passed","2026-07-27","Validate entity","Files","",""
"","308","Update course","LMS service","2026-07-27","passed","2026-07-27","Update entity","Courses","",""
"","29","Create file","LMS service","2026-07-27","passed","2026-07-27","Create entity","Files","",""
"","31","Create course","LMS service","2026-07-27","passed","2026-07-27","Create entity","Courses","",""
"","533","Create user","LMS service","2026-07-27","passed","2026-07-27","Create entity","Users","",""
"","302","Get courses","LMS service","2026-07-27","passed","2026-07-27","Get entities","Courses","",""
"","12","Get user me","LMS service","2026-07-27","passed","2026-07-27","Get entity","Users","",""
"","31","Update exercise","LMS service","2026-07-27","passed","2026-07-27","Update entity","Exercises","",""
"","295","Get exercises","LMS service","2026-07-27","passed","2026-07-27","Get entities","Exercises","",""
"","548","Login with correct email and password","LMS service","2026-07-27","passed","2026-07-27","Login","Authentication","",""
