"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","260","Get three courses","LMS service","2026-09-20","passed","2026-09-20","Get entities","Courses","",""
"","237","Create file with empty directory","LMS service","2026-09-20","passed","2026-09-20","Validate entity","Files","",""
"","24","Create course","LMS service","2026-09-20","passed","2026-09-20","Create entity","Courses","",""
"","483","Login with correct email and password","LMS service","2026-09-20","passed","2026-09-20","Login","Authentication","",""
"","473","Create user","LMS service","2026-09-20","passed","2026-09-20","Create entity","Users","",""
"","18","Get courses","LMS service","2026-09-20","passed","2026-09-20","Get entities","Courses","",""
"","9","Get user me","LMS service","2026-09-20","passed","2026-09-20","Get entity","Users","",""
"","236","Create file with empty filename","LMS service","2026-09-20","passed","2026-09-20","Validate entity","Files","",""
"","23","Delete exercise","LMS service","2026-09-20","passed","2026-09-20","Delete entity","Exercises","",""
"","16","Create exercise","LMS service","2026-09-20","passed","2026-09-20","Create entity","Exercises","",""
"","12","Get file","LMS service","2026-09-20","passed","2026-09-20","Get entity","Files","",""
"","13","Get file with incorrect file id","LMS service","2026-09-20","passed","2026-09-20","Validate entity","Files","",""
"","14","Get exercise","LMS service","2026-09-20","passed","2026-09-20","Get entity","Exercises","",""
"","16","Get three exercises","LMS service","2026-09-20","passed","2026-09-20","Get entities","Exercises","",""
"","18","Update exercise","LMS service","2026-09-20","passed","2026-09-20","Update entity","Exercises","",""
"","19","Delete file","LMS service","2026-09-20","passed","2026-09-20","Delete entity","Files","",""
"","25","Create file","LMS service","2026-09-20","passed","2026-09-20","Create entity","Files","",""
"","464","Create user","LMS service","2026-09-20","passed","2026-09-20","Create entity","Users","",""
"","252","Create user","LMS service","2026-09-20","passed","2026-09-20","Create entity","Users","",""
"","252","Get exercises","LMS service","2026-09-20","passed","2026-09-20","Get entities","Exercises","",""
"","26","Update course","LMS service","2026-09-20","passed","2026-09-20","Update entity","Courses","",""
